repo,selectStmtCount,createStmtCount,insertStmtCount,updateStmtCount,createIndexStmtCount
Icinga_icinga2.sql,6,113,0,0,162
qemu_qemu.sql,1,0,0,0,0
exercism_exercism.io.sql,0,0,0,0,0
opencor_opencor.sql,0,0,0,0,0
Shopify_active_merchant.sql,0,0,0,0,0
collectiveaccess_providence.sql,131,231,0,13,895
sfu-fas_coursys.sql,18,0,0,0,0
PDAL_PDAL.sql,17,1,0,0,0
seqan_seqan.sql,0,0,0,0,0
liamw9534_mopidy.sql,0,0,0,0,0
intermine_intermine.sql,187,25,17,1,30
apache_accumulo.sql,0,0,0,0,0
overturetool_overture.sql,0,0,0,0,0
Spesmilo_Electrum.sql,0,0,0,0,0
nasa_europa.sql,1,0,0,0,0
OSGeo_gdal.sql,487,177,46,18,13
RobertCNelson_u-boot.sql,0,0,0,0,0
urho3d_Urho3D.sql,105,62,7,3,13
fatfreecrm_fat_free_crm.sql,0,0,0,0,0
github_linguist.sql,22,25,0,0,0
sass_sass.sql,0,0,0,0,0
TechEmpower_FrameworkBenchmarks.sql,100,12,0,31,0
wp-e-commerce_WP-e-Commerce.sql,138,4,0,0,0
mongodb_mongo-ruby-driver.sql,0,0,0,0,0
Irssi_irssi.sql,0,0,0,0,0
ImageEngine_gaffer.sql,0,0,0,0,0
leapmotion_autowiring.sql,0,0,0,0,0
opscode_supermarket.sql,4,0,0,1,0
NancyFx_Nancy.sql,0,0,0,0,0
tinkerpop_tinkerpop3.sql,0,0,0,0,0
benhoskings_babushka.sql,0,0,0,0,0
SCIInstitute_SCIRun.sql,6,3,1,1,0
unclebob_fitnesse.sql,0,0,0,0,0
Unidata_thredds.sql,0,2,0,0,0
wikimedia_pywikibot-core.sql,0,0,0,0,0
StackStorm_st2.sql,1,0,0,0,0
nfs-ganesha_nfs-ganesha.sql,1,0,0,0,0
stephenmcd_mezzanine.sql,0,0,0,0,0
HAProxy_haproxy-1.5.sql,0,0,0,0,0
MSOpenTech_cocos2d-x.sql,4,2,0,0,0
BuildCraft_BuildCraft.sql,0,0,0,0,0
apache_thrift.sql,0,0,0,0,0
torchbox_wagtail.sql,0,0,0,0,0
mapbox_mapbox-gl-native.sql,91,90,5,6,17
supercollider_supercollider.sql,0,0,0,0,0
micropython_micropython.sql,0,0,0,0,0
christopho_solarus.sql,0,0,0,0,0
orocrm_platform.sql,55,19,0,56,2
MyGUI_mygui.sql,0,0,0,0,0
clintbellanger_flare-engine.sql,0,0,0,0,0
vispy_vispy.sql,0,0,0,0,0
zopefoundation_ZODB.sql,0,3,0,0,0
ReadyTalk_avian.sql,0,0,0,0,0
QupZilla_qupzilla.sql,38,2,0,10,3
pyne_pyne.sql,0,0,0,0,0
rubygems_rubygems.org.sql,2,0,0,0,1
